case_id,submitted_datetime,submitted_date_key,closed_datetime,service_key,team_key,campus_key,cohort_key,lifecycle_stage_key,channel_key,requester_type,case_type,category,priority,current_status,first_response_business_hours,triage_business_hours,assignment_business_hours,resolution_business_hours,first_response_sla_breached,resolution_sla_breached,handoff_count,reopened_flag,repeat_contact_14d,first_contact_resolution_flag,complexity_weight,staff_handle_hours,estimated_cost_aud,case_summary,synthetic_label,ai_theme,ai_summary,ai_recommended_owner,ai_confidence,ai_review_status,source_extract_ts
CASE-011623,2024-12-12 17:06:00,20241212,2024-12-15 07:34:49,1,1.0,1,2,2,1,Student,Enquiry,Enrolment changes,P3,Resolved,5.02,1.9,7.78,39.85,0,0,0,0,0,1,0.94,0.54,33.48,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011624,2026-03-03 19:14:00,20260303,2026-03-06 04:33:42,2,5.0,1,1,2,5,Student,Enquiry,Multi-factor authentication,P4,Resolved,7.59,4.58,4.07,32.33,0,0,0,0,0,1,0.69,0.86,53.32,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011625,2025-06-25 13:18:00,20250625,2025-06-26 12:23:15,1,4.0,2,1,4,2,Student,Complaint,Documents and letters,P3,Merged Duplicate,10.8,6.56,1.55,,0,0,0,0,0,0,1.09,0.66,40.92,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011626,2025-10-21 14:25:00,20251021,2025-10-22 18:21:54,2,7.0,1,7,5,3,Professional Staff,Enquiry,Wi-Fi and network,P3,Resolved,8.05,5.89,3.24,11.86,0,0,2,0,0,0,0.99,1.42,88.04,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011627,2026-02-10 12:10:00,20260210,2026-02-12 17:33:01,1,4.0,1,4,3,3,Student,Enquiry,Documents and letters,P3,Resolved,7.64,3.54,3.84,31.98,0,0,0,0,0,1,1.18,1.39,86.18,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011628,2026-02-07 15:19:00,20260207,2026-02-08 17:36:41,3,9.0,2,3,3,2,Student,Service Request,Security and lighting,P3,Resolved,3.32,1.79,3.78,15.71,0,0,0,0,0,1,0.91,0.51,49.62,Service issue reported for security and lighting at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011629,2025-06-10 14:29:00,20250610,2025-06-12 21:37:51,2,7.0,1,1,3,1,Student,Service Request,Wi-Fi and network,P4,Resolved,5.14,3.54,5.61,35.02,0,0,1,0,0,0,0.76,1.27,78.74,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011630,2025-07-04 09:01:00,20250704,2025-07-06 05:12:28,1,3.0,1,3,2,1,Student,Enquiry,Fees and payments,P4,Resolved,2.79,0.98,3.3,22.16,0,0,0,0,1,0,0.65,0.72,44.64,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011631,2025-08-30 09:47:00,20250830,2025-09-01 00:49:27,2,5.0,1,4,3,5,Student,Service Request,Device and software,P4,Resolved,2.63,1.01,5.01,23.21,0,0,1,0,1,0,0.6,0.94,58.28,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011632,2026-05-11 18:13:00,20260511,2026-05-13 04:26:50,3,10.0,1,4,3,1,Student,Enquiry,Accessibility,P4,Resolved,2.71,1.42,3.45,21.07,0,0,1,0,0,0,0.71,0.78,66.36,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011633,2024-09-10 09:51:00,20240910,2024-09-11 12:41:04,2,5.0,1,4,1,2,Student,Service Request,Account access and login,P4,Resolved,1.77,0.89,1.45,13.43,0,0,1,0,1,0,0.68,1.13,70.06,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011634,2026-04-10 14:20:00,20260410,2026-04-12 13:51:07,1,1.0,1,3,3,1,Student,Enquiry,Enrolment changes,P3,Resolved,4.83,1.89,5.93,28.42,0,0,2,0,1,0,1.17,1.55,96.1,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011635,2025-02-04 12:39:00,20250204,2025-02-07 13:21:48,1,2.0,1,1,3,3,Student,Enquiry,Timetable and class allocation,P2,Resolved,3.33,1.49,9.79,43.02,0,1,1,0,0,0,1.5,1.78,110.36,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011636,2025-04-04 14:42:00,20250404,2025-04-06 23:18:36,2,5.0,1,7,5,1,Professional Staff,Service Request,Multi-factor authentication,P3,Resolved,4.92,2.63,8.36,35.37,0,0,0,0,1,0,0.88,0.46,28.52,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011637,2025-01-20 11:46:00,20250120,2025-01-22 06:29:09,1,2.0,1,3,3,1,Student,Complaint,Timetable and class allocation,P3,Resolved,3.8,2.51,7.54,22.23,0,0,1,0,0,0,1.05,1.16,71.92,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011638,2025-08-14 16:59:00,20250814,2025-08-17 17:27:40,2,5.0,1,5,3,3,Student,Service Request,Account access and login,P4,Resolved,5.53,3.64,9.59,41.13,0,0,1,0,1,0,0.77,1.08,66.96,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011639,2026-02-16 11:03:00,20260216,2026-02-20 11:40:08,3,9.0,1,4,3,2,Student,Service Request,Study spaces,P3,Resolved,4.91,1.81,3.79,58.17,0,1,1,0,1,0,0.89,1.15,89.3,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011640,2025-02-26 15:53:00,20250226,2025-02-28 19:57:01,1,4.0,2,1,3,1,Student,Service Request,Academic progression,P2,Resolved,24.79,11.35,4.24,29.03,1,1,1,0,0,0,1.73,1.17,72.54,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011641,2025-03-31 11:58:00,20250331,2025-04-02 20:32:40,3,9.0,1,1,3,1,Student,Service Request,Cleanliness,P3,Resolved,2.03,0.99,5.72,35.63,0,0,0,0,0,1,0.99,0.72,62.64,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011642,2025-05-14 12:30:00,20250514,2025-05-16 20:46:02,3,9.0,2,2,3,5,Student,Service Request,Cleanliness,P4,Resolved,8.97,3.94,9.07,36.2,0,0,0,0,1,0,0.68,0.31,37.22,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011643,2025-05-28 11:28:00,20250528,2025-05-29 12:54:08,1,4.0,1,4,3,4,Student,Enquiry,Documents and letters,P4,Resolved,8.94,3.68,2.81,15.66,0,0,1,0,0,0,0.65,0.74,45.88,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011644,2026-07-14 17:16:00,20260714,2026-07-18 03:59:45,1,1.0,1,2,2,1,Student,Service Request,Enrolment changes,P2,Resolved,1.79,0.72,12.96,49.3,0,1,0,0,1,0,1.47,1.71,106.02,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011645,2025-11-15 12:11:00,20251115,2025-11-21 07:26:59,1,2.0,1,3,2,3,Student,Service Request,Timetable and class allocation,P3,Resolved,3.85,2.84,29.19,86.34,0,1,1,1,1,0,0.95,2.29,141.98,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011646,2025-07-29 17:07:00,20250729,2025-08-01 10:50:53,1,2.0,3,1,3,2,Student,Service Request,Timetable and class allocation,P4,Resolved,4.79,1.5,5.59,41.02,0,0,0,0,0,1,0.77,0.84,52.08,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011647,2025-12-18 10:18:00,20251218,2025-12-20 18:52:04,3,9.0,1,2,4,4,Student,Complaint,Study spaces,P2,Resolved,25.3,10.55,4.41,31.77,1,1,1,0,0,0,1.66,2.08,146.96,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011648,2025-12-19 17:51:00,20251219,2025-12-23 21:37:30,1,4.0,1,4,3,1,Student,Service Request,Documents and letters,P3,Resolved,4.17,2.07,9.64,61.54,0,1,0,0,0,1,1.12,1.43,88.66,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011649,2025-03-09 15:15:00,20250309,2025-03-11 08:17:47,3,9.0,3,2,4,1,Student,Complaint,HVAC and temperature,P3,Resolved,2.97,1.13,4.21,24.04,0,0,0,0,1,0,1.12,0.9,73.8,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011650,2026-04-27 09:47:00,20260427,2026-04-28 09:42:35,1,3.0,1,4,3,4,Student,Enquiry,Fees and payments,P3,Resolved,8.83,3.67,3.0,15.4,0,0,1,0,0,0,1.13,1.65,102.3,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011651,2026-02-02 17:25:00,20260202,2026-02-06 02:30:33,1,4.0,1,4,4,5,Student,Enquiry,Documents and letters,P3,Resolved,18.2,5.1,6.44,47.32,1,1,0,0,0,1,0.9,0.58,35.96,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011652,2025-09-08 16:51:00,20250908,2025-09-10 06:38:51,1,4.0,1,1,3,4,Student,Complaint,Academic progression,P3,Resolved,6.69,4.7,3.59,20.48,0,0,1,0,0,0,0.94,0.91,56.42,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011653,2025-08-18 12:25:00,20250818,2025-08-21 19:31:29,2,6.0,2,6,5,5,Academic Staff,Service Request,Learning platform,P3,Resolved,5.26,2.2,6.13,46.45,0,1,1,0,0,0,1.09,1.35,83.7,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011654,2025-11-12 14:21:00,20251112,2025-11-13 20:42:02,1,3.0,1,1,3,3,Student,Enquiry,Fees and payments,P3,Resolved,8.05,4.22,2.75,18.29,0,0,0,0,0,1,0.85,0.62,38.44,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011655,2025-07-23 16:42:00,20250723,2025-07-24 19:29:47,1,1.0,1,2,2,1,Student,Enquiry,Enrolment changes,P2,Resolved,9.26,3.63,4.02,14.05,1,0,1,0,1,0,1.44,1.17,72.54,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011656,2025-07-20 15:06:00,20250720,2025-07-25 11:51:18,3,9.0,1,4,2,2,Student,Enquiry,Study spaces,P2,Resolved,4.38,1.47,11.96,72.59,0,1,1,0,0,0,1.8,1.8,129.6,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011657,2026-06-18 08:06:00,20260618,2026-06-19 23:17:44,1,4.0,1,4,4,4,Student,Service Request,Documents and letters,P3,Resolved,2.4,0.99,3.53,19.49,0,0,0,0,0,1,1.1,1.14,70.68,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011658,2026-02-02 16:20:00,20260202,2026-02-05 06:32:57,1,3.0,3,1,4,4,Student,Service Request,Fees and payments,P4,Resolved,9.08,4.35,6.05,38.92,0,0,0,0,1,0,0.62,0.57,35.34,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011659,2026-04-30 13:37:00,20260430,2026-05-03 03:31:17,2,5.0,1,1,3,1,Student,Complaint,Device and software,P3,Resolved,5.77,2.56,6.41,35.84,0,0,1,0,0,0,0.97,0.97,60.14,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011660,2026-06-01 11:19:00,20260601,2026-06-03 14:28:00,1,1.0,1,2,3,1,Student,Idea,Enrolment changes,P3,Resolved,10.26,3.89,10.75,29.15,0,0,1,0,1,0,1.03,1.43,88.66,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011661,2026-03-24 11:04:00,20260324,2026-03-26 02:31:26,1,2.0,1,3,3,1,Student,Enquiry,Timetable and class allocation,P3,Resolved,6.42,2.4,3.63,21.11,0,0,1,0,0,0,1.15,0.91,56.42,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011662,2025-09-06 14:43:00,20250906,2025-09-09 15:12:56,1,1.0,1,2,3,2,Student,Service Request,Enrolment changes,P4,Resolved,3.2,1.92,14.2,46.7,0,0,1,0,0,0,0.81,1.04,64.48,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011663,2025-07-16 12:56:00,20250716,2025-07-21 22:00:59,1,1.0,1,1,1,1,Student,Enquiry,Enrolment changes,P3,Resolved,6.09,1.77,18.82,81.9,0,1,0,0,1,0,0.87,0.45,27.9,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011664,2026-05-22 20:28:00,20260522,2026-05-26 03:44:54,3,10.0,2,1,3,1,Student,Service Request,Accessibility,P4,Resolved,7.05,4.63,10.77,46.16,0,0,0,0,0,1,0.6,0.68,60.16,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011665,2025-01-15 14:57:00,20250115,2025-01-17 02:46:23,2,5.0,1,3,3,2,Student,Service Request,Account access and login,P3,Resolved,4.14,2.3,3.26,20.35,0,0,2,0,1,0,1.03,1.69,104.78,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011666,2025-02-07 17:29:00,20250207,2025-02-09 01:08:44,1,1.0,1,3,3,1,Student,Service Request,Enrolment changes,P2,Resolved,3.51,1.48,4.63,14.52,0,0,2,0,1,0,1.76,1.58,97.96,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011667,2025-12-07 09:12:00,20251207,2025-12-11 07:38:11,2,5.0,1,6,5,2,Academic Staff,Service Request,Account access and login,P3,Resolved,5.26,2.48,9.52,57.04,0,1,2,0,0,0,1.0,1.77,109.74,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011668,2025-07-29 13:52:00,20250729,2025-07-31 22:57:32,3,9.0,1,7,5,1,Professional Staff,Enquiry,Cleanliness,P3,Resolved,25.32,15.88,6.54,31.86,1,0,1,0,0,0,0.98,1.59,116.58,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011669,2026-06-09 15:29:00,20260609,2026-06-10 14:45:15,1,4.0,1,3,4,4,Student,Complaint,Documents and letters,P3,Resolved,2.68,1.81,2.72,11.27,0,0,1,0,0,0,0.86,1.4,86.8,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011670,2025-07-17 13:21:00,20250717,2025-07-22 01:17:28,1,4.0,1,1,3,1,Student,Service Request,Documents and letters,P4,Resolved,4.52,1.24,8.16,66.36,0,0,1,0,1,0,0.79,0.97,60.14,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011671,2026-07-13 19:56:00,20260713,2026-07-14 20:01:41,3,9.0,1,1,4,1,Student,Service Request,Cleanliness,P3,Resolved,3.9,2.31,1.69,13.53,0,0,0,0,1,0,0.96,1.23,94.26,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011672,2025-02-17 11:04:00,20250217,2025-02-19 18:04:59,3,9.0,1,2,4,1,Student,Complaint,Study spaces,P3,Resolved,8.59,2.06,4.19,34.09,0,0,0,0,0,1,1.19,1.05,83.1,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011673,2025-10-17 17:49:00,20251017,2025-10-19 01:52:13,1,1.0,1,1,2,2,Student,Enquiry,Enrolment changes,P3,Resolved,10.18,7.23,4.08,19.56,0,0,1,0,0,0,1.19,1.74,107.88,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011674,2026-06-08 12:25:00,20260608,2026-06-09 03:20:24,1,3.0,1,1,2,5,Student,Complaint,Fees and payments,P3,Resolved,3.4,1.49,0.94,5.85,0,0,0,0,1,0,0.96,0.93,57.66,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011675,2025-03-27 13:59:00,20250327,2025-03-31 17:36:29,2,5.0,1,4,3,2,Student,Service Request,Account access and login,P3,Resolved,4.89,2.09,6.16,62.52,0,1,0,0,0,1,0.93,1.11,68.82,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011676,2024-11-19 09:21:00,20241119,2024-11-20 10:02:18,2,5.0,2,1,1,3,Student,Enquiry,Account access and login,P3,Resolved,4.21,1.69,3.2,12.48,0,0,0,0,0,1,1.04,1.25,77.5,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011677,2025-09-30 15:40:00,20250930,2025-10-01 21:38:45,1,3.0,1,4,3,4,Student,Enquiry,Fees and payments,P4,Resolved,11.64,8.48,1.88,14.92,0,0,0,0,1,0,0.66,0.62,38.44,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011678,2025-06-14 16:59:00,20250614,2025-06-16 14:00:34,3,9.0,1,1,3,2,Student,Complaint,Study spaces,P4,Resolved,7.2,2.34,3.96,24.0,0,0,0,0,0,1,0.77,0.42,44.04,Service issue reported for study spaces at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011679,2025-10-08 10:41:00,20251008,2025-10-13 08:27:56,3,9.0,1,1,3,1,Student,Enquiry,HVAC and temperature,P4,Resolved,4.71,2.07,6.55,69.82,0,0,0,0,0,1,0.72,0.39,42.18,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011680,2025-08-09 15:56:00,20250809,2025-08-12 05:24:22,2,6.0,1,1,3,4,Student,Enquiry,Learning platform,P3,Resolved,2.57,0.91,6.15,35.26,0,0,1,0,1,0,1.14,1.51,93.62,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011681,2026-05-07 16:51:00,20260507,2026-05-13 01:49:31,3,10.0,3,1,3,2,Student,Service Request,Accessibility,P3,Resolved,6.89,3.06,18.66,81.06,0,1,2,0,0,0,0.95,1.29,97.98,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011682,2025-10-24 15:58:00,20251024,2025-10-27 22:28:31,1,2.0,1,1,4,2,Student,Enquiry,Timetable and class allocation,P2,Resolved,5.5,3.62,13.1,49.09,0,1,0,0,0,1,1.85,1.14,70.68,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011683,2024-09-10 15:02:00,20240910,2024-09-13 04:11:56,1,4.0,2,1,4,1,Student,Enquiry,Documents and letters,P3,Resolved,27.19,16.87,7.39,34.58,1,0,1,0,0,0,1.19,1.48,91.76,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011684,2026-03-28 11:04:00,20260328,2026-03-29 18:49:38,1,1.0,1,1,2,1,Student,Enquiry,Enrolment changes,P3,Resolved,3.68,1.62,1.92,17.84,0,0,0,0,0,1,0.92,0.92,57.04,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011685,2024-11-08 12:17:00,20241108,2024-11-11 03:05:01,1,2.0,1,2,3,1,Student,Complaint,Timetable and class allocation,P4,Resolved,11.73,5.14,11.0,37.95,0,0,0,0,0,1,0.8,0.79,48.98,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011686,2025-07-22 18:53:00,20250722,2025-07-23 17:22:24,3,8.0,1,1,2,2,Student,Enquiry,Teaching room equipment,P4,Resolved,3.75,2.52,2.83,12.62,0,0,1,0,1,0,0.76,1.08,84.96,Service issue reported for teaching room equipment at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011687,2024-10-19 13:40:00,20241019,2024-10-20 16:11:55,2,5.0,1,4,3,2,Student,Service Request,Account access and login,P2,Resolved,8.19,3.83,2.42,10.85,1,0,0,0,0,1,1.87,1.79,110.98,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011688,2026-03-24 10:44:00,20260324,2026-03-26 00:57:45,3,9.0,2,2,3,1,Student,Enquiry,Cleanliness,P3,Resolved,5.59,2.41,2.89,18.98,0,0,1,0,0,0,0.98,1.07,84.34,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011689,2024-09-08 10:10:00,20240908,2024-09-12 16:07:05,1,4.0,1,4,4,1,Student,Enquiry,Documents and letters,P3,Resolved,7.53,5.01,11.71,63.33,0,1,0,0,0,1,1.13,0.7,43.4,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011690,2026-05-04 20:36:00,20260504,2026-05-07 01:35:37,1,4.0,1,1,3,1,Student,Service Request,Documents and letters,P3,Resolved,3.9,2.13,6.74,28.58,0,0,1,0,0,0,0.93,1.0,62.0,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011691,2024-10-25 12:17:00,20241025,2024-10-26 22:37:43,1,2.0,1,1,3,1,Student,Enquiry,Timetable and class allocation,P3,Resolved,1.74,1.15,5.29,20.24,0,0,0,0,0,1,1.15,1.06,65.72,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011692,2025-02-26 11:40:00,20250226,2025-03-03 09:05:03,1,1.0,2,4,1,4,Student,Service Request,Enrolment changes,P3,Resolved,14.99,4.18,7.51,71.62,0,1,1,0,0,0,1.03,1.08,66.96,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011693,2025-12-10 08:28:00,20251210,2025-12-12 07:39:53,3,9.0,1,7,5,1,Professional Staff,Service Request,Security and lighting,P2,Resolved,5.76,2.74,5.7,24.5,0,1,0,0,0,1,1.87,2.29,159.98,Service issue reported for security and lighting at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011694,2025-04-05 13:35:00,20250405,2025-04-09 14:13:19,2,6.0,1,1,3,2,Student,Enquiry,Learning platform,P3,Resolved,4.72,2.42,7.1,57.9,0,1,0,0,0,1,0.88,0.4,24.8,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011695,2025-02-17 12:46:00,20250217,2025-02-19 13:52:54,1,1.0,2,2,3,3,Student,Service Request,Enrolment changes,P3,Resolved,3.5,1.39,3.76,25.58,0,0,2,0,1,0,1.14,1.51,93.62,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011696,2025-04-03 16:07:00,20250403,2025-04-05 20:21:40,2,5.0,1,7,5,1,Professional Staff,Service Request,Account access and login,P3,Resolved,1.81,1.15,6.26,28.31,0,0,2,0,0,0,1.11,1.74,107.88,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011697,2025-11-15 11:09:00,20251115,2025-11-17 13:44:24,1,2.0,1,2,3,1,Student,Complaint,Timetable and class allocation,P4,Resolved,2.29,1.59,11.3,31.29,0,0,2,0,0,0,0.76,1.29,79.98,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011698,2026-07-22 16:02:00,20260722,2026-07-24 09:40:53,1,1.0,1,2,3,1,Student,Enquiry,Enrolment changes,P3,Resolved,9.75,3.69,5.46,24.99,0,0,0,0,1,0,0.97,0.52,32.24,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-011699,2026-03-28 12:00:00,20260328,2026-03-29 10:35:21,2,7.0,1,3,3,3,Student,Service Request,Wi-Fi and network,P2,Resolved,8.89,4.48,1.81,10.7,1,0,0,0,0,1,1.71,1.92,119.04,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
